candidate_id,candidate_name,city,district,subdistrict,latitude,longitude,location_type,rent_cost_estimation,road_access_level,parking_availability,visibility_score,h3_index,status
LOC_JKT_001,Kandidat Jakarta 1,Jakarta,Menteng,Menteng,-6.207073,106.812537,Service Point,255000000,Medium,High,88.83,H3_JKT_005,Candidate
LOC_JKT_002,Kandidat Jakarta 2,Jakarta,Duren Sawit,Klender,-6.214512,106.909126,Mobile Service Hub,209000000,Low,High,61.38,H3_JKT_008,Candidate
LOC_JKT_003,Kandidat Jakarta 3,Jakarta,Pasar Minggu,Ragunan,-6.276835,106.816531,New Branch,93000000,High,High,60.3,H3_JKT_022,Candidate
LOC_JKT_004,Kandidat Jakarta 4,Jakarta,Kelapa Gading,Kelapa Gading Timur,-6.1598,106.891443,New Branch,82000000,Low,Low,80.91,H3_JKT_026,Candidate
LOC_JKT_005,Kandidat Jakarta 5,Jakarta,Cilandak,Lebak Bulus,-6.280411,106.797579,Mobile Service Hub,130000000,Low,High,50.51,H3_JKT_001,Candidate
LOC_JKT_006,Kandidat Jakarta 6,Jakarta,Pasar Minggu,Jati Padang,-6.288946,106.83797,New Branch,143000000,High,High,72.61,H3_JKT_020,Candidate
LOC_JKT_007,Kandidat Jakarta 7,Jakarta,Pasar Minggu,Pejaten Timur,-6.304593,106.855763,Service Point,186000000,High,Medium,69.13,H3_JKT_024,Candidate
LOC_JKT_008,Kandidat Jakarta 8,Jakarta,Menteng,Cikini,-6.196662,106.82244,Mobile Service Hub,111000000,Medium,High,56.99,H3_JKT_021,Candidate
LOC_BDG_001,Kandidat Bandung 1,Bandung,Buahbatu,Sekejati,-6.935099,107.656765,Mobile Service Hub,311000000,Medium,Low,90.55,H3_BDG_019,Candidate
LOC_BDG_002,Kandidat Bandung 2,Bandung,Ujungberung,Pasanggrahan,-6.910826,107.696929,New Branch,185000000,High,Medium,79.94,H3_BDG_026,Candidate
LOC_BDG_003,Kandidat Bandung 3,Bandung,Ujungberung,Pasanggrahan,-6.892581,107.706304,Mobile Service Hub,287000000,Medium,High,58.02,H3_BDG_029,Candidate
LOC_BDG_004,Kandidat Bandung 4,Bandung,Cicendo,Husein,-6.874295,107.574077,New Branch,83000000,Medium,Medium,45.71,H3_BDG_003,Candidate
LOC_BDG_005,Kandidat Bandung 5,Bandung,Coblong,Sekeloa,-6.912451,107.59694,Service Point,133000000,High,Low,56.47,H3_BDG_006,Candidate
LOC_BDG_006,Kandidat Bandung 6,Bandung,Buahbatu,Margasari,-6.961976,107.651408,Mobile Service Hub,102000000,Medium,Low,76.62,H3_BDG_028,Candidate
LOC_BDG_007,Kandidat Bandung 7,Bandung,Antapani,Antapani Tengah,-6.90078,107.666271,Service Point,85000000,High,Medium,58.85,H3_BDG_027,Candidate
LOC_BDG_008,Kandidat Bandung 8,Bandung,Antapani,Antapani Tengah,-6.916581,107.66487,Service Point,138000000,High,High,72.97,H3_BDG_020,Candidate
LOC_SMG_001,Kandidat Semarang 1,Semarang,Genuk,Karangroto,-6.95375,110.455585,Service Point,226000000,Low,High,77.34,H3_SMG_005,Candidate
LOC_SMG_002,Kandidat Semarang 2,Semarang,Banyumanik,Srondol Kulon,-7.090497,110.429538,Mobile Service Hub,136000000,Medium,High,48.09,H3_SMG_030,Candidate
LOC_SMG_003,Kandidat Semarang 3,Semarang,Tembalang,Tembalang,-7.03582,110.451751,New Branch,190000000,Low,Low,70.57,H3_SMG_017,Candidate
LOC_SMG_004,Kandidat Semarang 4,Semarang,Tembalang,Sendangmulyo,-7.069416,110.430905,Service Point,316000000,Medium,Low,83.2,H3_SMG_010,Candidate
LOC_SMG_005,Kandidat Semarang 5,Semarang,Semarang Barat,Manyaran,-6.995616,110.370661,New Branch,106000000,Medium,Low,75.52,H3_SMG_002,Candidate
