poi_id,poi_name,poi_category,poi_subcategory,city,district,latitude,longitude,poi_weight,visitor_potential,h3_index,data_source
POI_JKT_001,Shop House Jakarta 1,Commercial,Shop House,Jakarta,Menteng,-6.21221,106.853333,0.47,Medium,H3_JKT_016,Dummy OSM/POI proxy
POI_JKT_002,Hospital Jakarta 2,Health,Hospital,Jakarta,Menteng,-6.214216,106.834994,0.5,Medium,H3_JKT_012,Dummy OSM/POI proxy
POI_JKT_003,Training Center Jakarta 3,Education,Training Center,Jakarta,Cengkareng,-6.143367,106.749095,0.57,High,H3_JKT_019,Dummy OSM/POI proxy
POI_JKT_004,Apartment Jakarta 4,Residential,Apartment,Jakarta,Kebayoran Baru,-6.226965,106.789893,0.88,Medium,H3_JKT_014,Dummy OSM/POI proxy
POI_JKT_005,Bus Stop Jakarta 5,Transportation,Bus Stop,Jakarta,Kembangan,-6.221014,106.710184,0.54,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_006,Gas Station Jakarta 6,Fuel & Mobility,Gas Station,Jakarta,Cilandak,-6.323662,106.802659,0.87,High,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_007,University Jakarta 7,Education,University,Jakarta,Pasar Minggu,-6.283363,106.852128,0.98,Low,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_008,School Jakarta 8,Education,School,Jakarta,Menteng,-6.197822,106.811363,1.0,High,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_009,Parking Area Jakarta 9,Fuel & Mobility,Parking Area,Jakarta,Menteng,-6.208323,106.820591,0.87,Low,H3_JKT_005,Dummy OSM/POI proxy
POI_JKT_010,Shop House Jakarta 10,Commercial,Shop House,Jakarta,Kebayoran Baru,-6.247431,106.799579,0.95,Low,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_011,Public Service Office Jakarta 11,Public Service,Public Service Office,Jakarta,Kelapa Gading,-6.162997,106.900479,0.72,High,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_012,Apartment Jakarta 12,Residential,Apartment,Jakarta,Pasar Minggu,-6.263083,106.843039,0.42,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_013,Shop House Jakarta 13,Commercial,Shop House,Jakarta,Menteng,-6.193951,106.818159,0.78,High,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_014,Mall Jakarta 14,Commercial,Mall,Jakarta,Pasar Minggu,-6.291955,106.840118,0.75,High,H3_JKT_020,Dummy OSM/POI proxy
POI_JKT_015,University Jakarta 15,Education,University,Jakarta,Kebayoran Baru,-6.25264,106.803499,0.66,Medium,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_016,Shop House Jakarta 16,Commercial,Shop House,Jakarta,Cilandak,-6.30868,106.798181,0.53,Medium,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_017,Station Jakarta 17,Transportation,Station,Jakarta,Menteng,-6.193082,106.820679,0.55,High,H3_JKT_028,Dummy OSM/POI proxy
POI_JKT_018,Parking Area Jakarta 18,Fuel & Mobility,Parking Area,Jakarta,Duren Sawit,-6.224088,106.924504,0.77,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_019,Clinic Jakarta 19,Health,Clinic,Jakarta,Duren Sawit,-6.223906,106.908207,0.91,Low,H3_JKT_015,Dummy OSM/POI proxy
POI_JKT_020,Gas Station Jakarta 20,Fuel & Mobility,Gas Station,Jakarta,Kembangan,-6.219284,106.748943,0.44,High,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_021,Mall Jakarta 21,Commercial,Mall,Jakarta,Cilandak,-6.30678,106.813453,0.89,Low,H3_JKT_029,Dummy OSM/POI proxy
POI_JKT_022,Shop House Jakarta 22,Commercial,Shop House,Jakarta,Pasar Minggu,-6.284394,106.850125,0.89,High,H3_JKT_002,Dummy OSM/POI proxy
POI_JKT_023,Station Jakarta 23,Transportation,Station,Jakarta,Kebayoran Baru,-6.253815,106.80122,0.67,Medium,H3_JKT_013,Dummy OSM/POI proxy
POI_JKT_024,Housing Complex Jakarta 24,Residential,Housing Complex,Jakarta,Kelapa Gading,-6.163601,106.911102,0.46,Medium,H3_JKT_006,Dummy OSM/POI proxy
POI_JKT_025,Gas Station Jakarta 25,Fuel & Mobility,Gas Station,Jakarta,Pasar Minggu,-6.299223,106.862176,0.46,High,H3_JKT_024,Dummy OSM/POI proxy
POI_JKT_026,Apartment Jakarta 26,Residential,Apartment,Jakarta,Pasar Minggu,-6.275384,106.83933,0.52,Medium,H3_JKT_025,Dummy OSM/POI proxy
POI_JKT_027,Training Center Jakarta 27,Education,Training Center,Jakarta,Kembangan,-6.203418,106.743067,0.77,High,H3_JKT_017,Dummy OSM/POI proxy
POI_JKT_028,University Jakarta 28,Education,University,Jakarta,Kelapa Gading,-6.176756,106.889221,0.81,High,H3_JKT_026,Dummy OSM/POI proxy
POI_JKT_029,Clinic Jakarta 29,Health,Clinic,Jakarta,Menteng,-6.196627,106.81794,0.49,Medium,H3_JKT_021,Dummy OSM/POI proxy
POI_JKT_030,Office Center Jakarta 30,Commercial,Office Center,Jakarta,Pasar Minggu,-6.2789,106.815937,1.0,Medium,H3_JKT_022,Dummy OSM/POI proxy
POI_JKT_031,Terminal Jakarta 31,Transportation,Terminal,Jakarta,Kembangan,-6.218925,106.721045,0.66,Medium,H3_JKT_018,Dummy OSM/POI proxy
POI_JKT_032,Bus Stop Jakarta 32,Transportation,Bus Stop,Jakarta,Kebayoran Baru,-6.254959,106.800338,0.93,Medium,H3_JKT_009,Dummy OSM/POI proxy
POI_JKT_033,School Jakarta 33,Education,School,Jakarta,Pasar Minggu,-6.286953,106.825867,0.87,High,H3_JKT_007,Dummy OSM/POI proxy
POI_JKT_034,Terminal Jakarta 34,Transportation,Terminal,Jakarta,Kebayoran Baru,-6.251074,106.806324,0.67,Medium,H3_JKT_013,Dummy OSM/POI proxy
