area_id,city,province,district,subdistrict,h3_index,centroid_latitude,centroid_longitude,population_count,population_density,household_count,productive_age_ratio,avg_income_index,economic_activity_index,urbanization_level,data_year,data_source
AREA_JKT_001,Jakarta,DKI Jakarta,Cilandak,Lebak Bulus,H3_JKT_001,-6.280494,106.798506,37144,22310.6,9661,0.723,48.91,64.83,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_002,Jakarta,DKI Jakarta,Pasar Minggu,Ragunan,H3_JKT_002,-6.283044,106.854733,38463,21773.95,11070,0.605,88.07,60.82,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_003,Jakarta,DKI Jakarta,Cilandak,Cilandak Barat,H3_JKT_003,-6.278462,106.795032,47213,23611.67,12488,0.718,70.98,78.11,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_004,Jakarta,DKI Jakarta,Kembangan,Meruya Utara,H3_JKT_004,-6.211778,106.741564,52260,16973.79,13619,0.692,75.76,48.36,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_005,Jakarta,DKI Jakarta,Menteng,Menteng,H3_JKT_005,-6.20422,106.811835,43010,23505.24,10791,0.644,47.98,87.92,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_006,Jakarta,DKI Jakarta,Kelapa Gading,Kelapa Gading Timur,H3_JKT_006,-6.158843,106.913992,63322,15678.38,16917,0.724,62.97,55.31,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_007,Jakarta,DKI Jakarta,Pasar Minggu,Jati Padang,H3_JKT_007,-6.295723,106.832265,58674,19407.6,14076,0.718,45.52,78.87,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_008,Jakarta,DKI Jakarta,Duren Sawit,Klender,H3_JKT_008,-6.209801,106.910392,45261,25606.43,11492,0.661,49.79,74.39,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_009,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,H3_JKT_009,-6.254297,106.790906,51788,24302.11,12899,0.629,47.61,86.27,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_010,Jakarta,DKI Jakarta,Kelapa Gading,Kelapa Gading Barat,H3_JKT_010,-6.173616,106.880478,45370,19387.43,12043,0.734,86.8,80.5,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_011,Jakarta,DKI Jakarta,Duren Sawit,Duren Sawit,H3_JKT_011,-6.222796,106.9159,29378,20236.32,8761,0.615,48.19,74.66,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_012,Jakarta,DKI Jakarta,Menteng,Cikini,H3_JKT_012,-6.213656,106.828306,58976,15401.96,16290,0.645,49.24,75.97,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_013,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,H3_JKT_013,-6.251943,106.805275,44295,14682.26,12004,0.602,53.26,66.74,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_014,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,H3_JKT_014,-6.216109,106.793694,38899,17689.8,10717,0.718,85.61,52.74,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_015,Jakarta,DKI Jakarta,Duren Sawit,Pondok Kelapa,H3_JKT_015,-6.22333,106.91832,63533,12853.41,18442,0.588,66.46,88.21,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_016,Jakarta,DKI Jakarta,Menteng,Cikini,H3_JKT_016,-6.218531,106.849258,44135,20104.87,14039,0.593,74.58,71.57,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_017,Jakarta,DKI Jakarta,Kembangan,Meruya Utara,H3_JKT_017,-6.216611,106.742329,28610,18416.0,6814,0.739,48.3,55.02,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_018,Jakarta,DKI Jakarta,Kembangan,Joglo,H3_JKT_018,-6.217067,106.712124,62664,12109.52,15670,0.628,74.85,89.13,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_019,Jakarta,DKI Jakarta,Cengkareng,Duri Kosambi,H3_JKT_019,-6.142108,106.751301,61122,18839.45,14922,0.715,49.15,64.91,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_020,Jakarta,DKI Jakarta,Pasar Minggu,Jati Padang,H3_JKT_020,-6.291423,106.836817,37768,19638.26,9399,0.673,51.66,50.99,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_021,Jakarta,DKI Jakarta,Menteng,Cikini,H3_JKT_021,-6.20059,106.823281,54632,25633.72,13921,0.728,55.65,52.64,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_022,Jakarta,DKI Jakarta,Pasar Minggu,Ragunan,H3_JKT_022,-6.278272,106.816306,45485,14228.77,11748,0.641,46.74,67.12,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_023,Jakarta,DKI Jakarta,Menteng,Menteng,H3_JKT_023,-6.202791,106.838776,46292,16916.05,12646,0.689,82.96,60.56,High,2026,Dummy BPS-like + synthetic geospatial grid
AREA_JKT_024,Jakarta,DKI Jakarta,Pasar Minggu,Pejaten Timur,H3_JKT_024,-6.297927,106.856388,61516,13619.04,15042,0.61,47.0,65.49,High,2026,Dummy BPS-like + synthetic geospatial grid
