branch_id,branch_name,city,province,district,subdistrict,latitude,longitude,branch_type,opening_year,service_capacity_per_day,avg_daily_transaction,avg_monthly_transaction,active_customer_coverage,coverage_radius_km,branch_performance_score,status,h3_index,data_source
BR_JKT_01,Jakarta Service Point 1,Jakarta,DKI Jakarta,Menteng,Menteng,-6.210022,106.817291,Satellite Service,2024,101,69.1,1576.6,206,7.5,93.05,Active,H3_JKT_005,Internal dummy
BR_JKT_02,Jakarta Service Point 2,Jakarta,DKI Jakarta,Kelapa Gading,Kelapa Gading Barat,-6.17256,106.883788,Service Point,2025,95,89.1,2222.7,70,5.0,71.91,Active,H3_JKT_010,Internal dummy
BR_JKT_03,Jakarta Service Point 3,Jakarta,DKI Jakarta,Cilandak,Lebak Bulus,-6.278872,106.794853,Dealer,2024,59,54.4,1522.3,117,7.5,86.4,Active,H3_JKT_001,Internal dummy
BR_JKT_04,Jakarta Service Point 4,Jakarta,DKI Jakarta,Kebayoran Baru,Gandaria Utara,-6.245587,106.80636,Service Point,2016,71,51.5,1386.1,127,7.5,76.47,Active,H3_JKT_013,Internal dummy
BR_JKT_05,Jakarta Service Point 5,Jakarta,DKI Jakarta,Duren Sawit,Duren Sawit,-6.224788,106.913687,Service Point,2016,64,53.5,1321.2,110,7.5,72.83,Active,H3_JKT_011,Internal dummy
BR_JKT_06,Jakarta Service Point 6,Jakarta,DKI Jakarta,Pasar Minggu,Jati Padang,-6.300414,106.836443,Service Point,2023,98,75.2,1922.3,165,3.0,86.45,Active,H3_JKT_020,Internal dummy
BR_BDG_01,Bandung Service Point 1,Bandung,Jawa Barat,Gedebage,Cisaranten Kidul,-6.92957,107.692206,Service Point,2021,96,89.9,2034.9,251,5.0,66.21,Active,H3_BDG_022,Internal dummy
BR_BDG_02,Bandung Service Point 2,Bandung,Jawa Barat,Ujungberung,Pasirwangi,-6.931252,107.681068,Service Point,2022,73,53.2,1416.9,130,3.0,70.76,Active,H3_BDG_012,Internal dummy
BR_BDG_03,Bandung Service Point 3,Bandung,Jawa Barat,Coblong,Sekeloa,-6.909431,107.598197,Dealer,2016,98,90.0,2428.9,174,5.0,69.54,Active,H3_BDG_006,Internal dummy
BR_BDG_04,Bandung Service Point 4,Bandung,Jawa Barat,Cicendo,Husein,-6.907109,107.581674,Dealer,2022,106,73.1,1924.9,66,5.0,60.49,Active,H3_BDG_021,Internal dummy
